Fecha_hoy,ing_hab,cto_noc,ADR,num_men,num_adu,TREVPEC,count_rows
2022-07-03,4223043.5115552815,2756.0,2560727.5526951654,1702.0,5760.0,2471737.4870731165,1572
2022-07-04,4333309.946183522,2828.0,2599090.9315536306,1808.0,5938.0,2475205.378433106,1600
2022-07-05,4201954.708904779,2812.0,2507229.179830571,1748.0,5848.0,2418563.912394743,1590
2022-07-06,4610642.150213839,2994.0,2451772.5885299267,1700.0,6352.0,2372410.9676271314,1524
2022-07-07,4472277.168128796,2844.0,2473521.890902945,1616.0,5994.0,2416315.7141073104,1494
2022-07-08,4772756.4150079815,3028.0,2590174.456079628,1740.0,6418.0,2528157.155274598,1530
2022-07-09,4804467.763062469,3048.0,2789814.6620159126,1782.0,6552.0,2704962.045639887,1662
2022-07-10,4366594.197395283,2870.0,2720518.7245621923,1684.0,6084.0,2631899.208174118,1654
2022-07-11,4578589.886223396,2988.0,2943041.0823913165,1838.0,6326.0,2819163.308501992,1788
2022-07-12,4497533.293649423,2922.0,2862495.561332893,1822.0,6178.0,2736720.4412881513,1772
2022-07-13,4402170.432014415,2884.0,2805758.7788640475,1724.0,6022.0,2725322.5950574586,1766
2022-07-14,4614458.185003159,2866.0,2891832.9576135385,1782.0,6000.0,2778186.354244578,1720
2022-07-15,4844026.228585548,3030.0,2961670.3706687177,1710.0,6372.0,2872590.723588522,1764
2022-07-16,4849480.345707868,3074.0,2911630.556464857,1754.0,6506.0,2822723.38938375,1750
2022-07-17,4576950.793636729,2874.0,2853395.3027567184,1808.0,5988.0,2793577.6934954994,1712
2022-07-18,4918752.498212932,3124.0,3076109.065423386,2058.0,6506.0,2993224.234771583,1860
2022-07-19,4847495.539879113,3102.0,3132659.8868841776,2046.0,6504.0,3030831.839146693,1896
2022-07-20,4822890.616877974,3096.0,3243217.4056963976,2000.0,6486.0,3139487.2271313,1964
2022-07-21,5142931.090329545,3084.0,3298888.142685155,1930.0,6470.0,3197475.2241862644,1912
2022-07-22,5528075.730845076,3308.0,3438077.2599224434,2018.0,6884.0,3355193.813562844,1954
2022-07-23,5782735.342827674,3394.0,3528103.2232613824,2088.0,7004.0,3521706.7591772676,1944
2022-07-24,5284040.053966712,3084.0,3242207.3242640365,2046.0,6286.0,3207044.089507787,1804
2022-07-25,5324392.316998053,3276.0,3102257.3218370765,2226.0,6726.0,3052040.777421714,1822
2022-07-26,5339116.514789079,3330.0,3131366.9809784926,2188.0,6840.0,3098700.8815674735,1880
2022-07-27,5174108.972537477,3276.0,3104976.4781406308,2152.0,6710.0,3113876.711377696,1886
2022-07-28,5252045.017518211,3234.0,3192957.880501126,2032.0,6730.0,3185702.721221945,1884
2022-07-29,5113263.474165496,3266.0,3045155.1025432358,2006.0,6836.0,2984323.5033500153,1844
2022-07-30,4986713.5777067905,3178.0,3036221.0195154557,1974.0,6730.0,2930311.5602969476,1806
2022-07-31,4338752.882410697,2800.0,2745524.919462393,1904.0,5864.0,2672812.3050817866,1662
2022-08-01,4940175.299707356,3184.0,2952747.3552180394,2256.0,6728.0,2846117.3251749543,1808
2022-08-02,4694672.494958518,3208.0,2786681.7971147303,2284.0,6746.0,2678202.9203650337,1804
2022-08-03,4731422.368541914,3166.0,2897641.671101227,2278.0,6672.0,2804162.6702321647,1834
2022-08-04,4636082.870400261,3126.0,2804895.2709403895,2260.0,6566.0,2705950.8255796432,1782
2022-08-05,4816935.770318695,3214.0,2954405.958028742,2096.0,6718.0,2895262.930659377,1824
2022-08-06,4765631.8533149185,3146.0,2980905.1777924197,2074.0,6582.0,2919209.5658533205,1816
2022-08-07,4209232.277274223,2772.0,2763281.9765299843,1952.0,5764.0,2701080.1339185494,1736
2022-08-08,4693297.311265072,3038.0,3035848.112151589,2200.0,6306.0,2964006.0194398765,1818
2022-08-09,4617082.667075819,3026.0,2913771.3822197295,2182.0,6240.0,2864383.1202157987,1774
2022-08-10,4708259.247983333,3052.0,3037057.1272591446,2238.0,6358.0,3009493.9554690556,1824
2022-08-11,4848214.509159121,3150.0,3096268.4837788017,2156.0,6544.0,3072314.3912786483,1874
2022-08-12,4865973.535072644,3224.0,3045449.2430633325,1972.0,6750.0,2991554.0861180844,1864
2022-08-13,4917161.436392101,3320.0,3038295.305910186,1986.0,6962.0,2985016.06845761,1894
2022-08-14,3896390.7606903063,2678.0,2499867.289857297,1824.0,5516.0,2479445.843506503,1624
2022-08-15,4039543.589916628,2882.0,2457837.96207738,2012.0,5884.0,2437854.6488461536,1622
2022-08-16,4287310.513896777,3110.0,2397591.878641658,1970.0,6192.0,2429395.8508411,1674
2022-08-17,4008177.7967613605,2968.0,2210586.923934116,1872.0,5882.0,2263686.7496447586,1610
2022-08-18,3593565.7632754752,2862.0,2115199.8948119367,1848.0,5954.0,2082295.0313212606,1554
2022-08-19,3660544.124098924,2908.0,2094068.5823229575,1846.0,6116.0,2009909.0711701561,1526
2022-08-20,3672717.210018025,2950.0,2114968.6394671244,1874.0,6200.0,2051195.4202736844,1546
2022-08-21,3297064.915768753,2594.0,2005802.4974243748,1910.0,5378.0,1961997.5160594934,1440
2022-08-22,3460903.223348937,2754.0,2066910.6964478067,1960.0,5672.0,2030785.7723038464,1514
2022-08-23,3551381.318173412,2830.0,2141598.2169001778,2026.0,5868.0,2098032.6303535374,1584
2022-08-24,3336897.7888996266,2624.0,2053609.1963711684,1846.0,5392.0,2044004.314891037,1504
2022-08-25,3495481.1818773123,2722.0,2024086.2394673235,1766.0,5642.0,1964841.2035882897,1494
2022-08-26,3894805.035501882,2934.0,2149475.842960167,1768.0,6200.0,2061537.4863268451,1548
2022-08-27,3698552.6055192696,2804.0,2127387.682884495,1724.0,5918.0,2043070.2355123165,1532
2022-08-28,2610481.7721977136,2044.0,1663769.3701264167,1312.0,4218.0,1586769.2309517788,1246
2022-08-29,2927953.755453678,2380.0,1709235.2824399334,1514.0,4900.0,1641016.1409034426,1318
2022-08-30,2873641.1286613187,2416.0,1631900.9323121652,1548.0,4970.0,1572766.2143326062,1302
2022-08-31,2414843.579999428,2016.0,1536242.510202887,1198.0,4068.0,1492606.2754397828,1234
2022-09-01,2922437.090608108,2292.0,1731393.021510317,1220.0,4650.0,1675004.7287143297,1314
2022-09-02,3286372.4001981374,2622.0,1886876.5195046987,1232.0,5418.0,1793149.8964516977,1452
2022-09-03,3625640.7920880257,2894.0,2083476.845311508,1334.0,6050.0,1971367.6228786595,1594
2022-09-04,2901412.5436243815,2388.0,1779028.9591441825,1176.0,4866.0,1718753.0959449648,1424
2022-09-05,2876978.3156063324,2452.0,1759292.2898964244,1304.0,4964.0,1706854.5569857545,1408
2022-09-06,2618609.1841111286,2282.0,1622358.4933788816,1132.0,4600.0,1575164.9462708104,1336
2022-09-07,2538574.6756206285,2242.0,1564120.4897472877,1090.0,4520.0,1517578.1877639566,1324
2022-09-08,2683314.841963211,2372.0,1616475.3100303672,1136.0,4770.0,1568054.9969674607,1364
2022-09-09,3466764.0333386874,2816.0,1996860.0382496696,1234.0,5750.0,1876198.723984373,1418
2022-09-10,3868847.69237981,2766.0,2008473.7313704633,1228.0,5684.0,1884220.4131236405,1292
2022-09-11,3266982.6577032562,2046.0,1459559.4332978409,854.0,4140.0,1376793.550730499,884
2022-09-12,3248094.120025997,1954.0,1369987.0019654834,822.0,3916.0,1302862.0626990758,808
2022-09-13,2726793.1427413826,1808.0,960159.3383677388,796.0,3660.0,969138.7084145992,690
2022-09-14,2487505.2416393873,1758.0,1001426.982539972,750.0,3566.0,1026400.849119622,682
2022-09-15,3231000.179476053,2552.0,1107988.2457612592,976.0,5228.0,1104378.0245510428,760
